path1;path2
D:\Projects\LeafRecognition\data\Original\train\Black-grass\0050f38b3.png;D:\Projects\LeafRecognition\data\Nonsegmented\Black-grass\14.png
D:\Projects\LeafRecognition\data\Original\train\Black-grass\0183fdf68.png;D:\Projects\LeafRecognition\data\Nonsegmented\Black-grass\154.png
D:\Projects\LeafRecognition\data\Original\train\Black-grass\0260cffa8.png;D:\Projects\LeafRecognition\data\Nonsegmented\Black-grass\212.png
D:\Projects\LeafRecognition\data\Original\train\Black-grass\05eedce4d.png;D:\Projects\LeafRecognition\data\Nonsegmented\Black-grass\41.png
D:\Projects\LeafRecognition\data\Original\train\Black-grass\075d004bc.png;D:\Projects\LeafRecognition\data\Nonsegmented\Black-grass\287.png
D:\Projects\LeafRecognition\data\Original\train\Black-grass\078eae073.png;D:\Projects\LeafRecognition\data\Nonsegmented\Black-grass\45.png
D:\Projects\LeafRecognition\data\Original\train\Black-grass\082314602.png;D:\Projects\LeafRecognition\data\Nonsegmented\Black-grass\16.png
D:\Projects\LeafRecognition\data\Original\train\Black-grass\0ace21089.png;D:\Projects\LeafRecognition\data\Nonsegmented\Black-grass\224.png
D:\Projects\LeafRecognition\data\Original\train\Black-grass\0b228a6b8.png;D:\Projects\LeafRecognition\data\Nonsegmented\Black-grass\329.png
D:\Projects\LeafRecognition\data\Original\train\Black-grass\0b3e7a7a9.png;D:\Projects\LeafRecognition\data\Nonsegmented\Black-grass\204.png
D:\Projects\LeafRecognition\data\Original\train\Black-grass\0bb75ded8.png;D:\Projects\LeafRecognition\data\Nonsegmented\Black-grass\129.png
D:\Projects\LeafRecognition\data\Original\train\Black-grass\0be707615.png;D:\Projects\LeafRecognition\data\Nonsegmented\Black-grass\312.png
D:\Projects\LeafRecognition\data\Original\train\Black-grass\0c67c3fc3.png;D:\Projects\LeafRecognition\data\Nonsegmented\Black-grass\294.png
D:\Projects\LeafRecognition\data\Original\train\Black-grass\0d1a9985f.png;D:\Projects\LeafRecognition\data\Nonsegmented\Black-grass\93.png
D:\Projects\LeafRecognition\data\Original\train\Black-grass\0d28c429b.png;D:\Projects\LeafRecognition\data\Nonsegmented\Black-grass\111.png
D:\Projects\LeafRecognition\data\Original\train\Black-grass\0d4f74f4a.png;D:\Projects\LeafRecognition\data\Nonsegmented\Black-grass\43.png
D:\Projects\LeafRecognition\data\Original\train\Black-grass\0dad57e7f.png;D:\Projects\LeafRecognition\data\Nonsegmented\Black-grass\46.png
D:\Projects\LeafRecognition\data\Original\train\Black-grass\0e91f92a1.png;D:\Projects\LeafRecognition\data\Nonsegmented\Black-grass\105.png
D:\Projects\LeafRecognition\data\Original\train\Black-grass\0fe440ed5.png;D:\Projects\LeafRecognition\data\Nonsegmented\Black-grass\83.png
D:\Projects\LeafRecognition\data\Original\train\Black-grass\1276dffba.png;D:\Projects\LeafRecognition\data\Nonsegmented\Black-grass\263.png
D:\Projects\LeafRecognition\data\Original\train\Black-grass\129c51855.png;D:\Projects\LeafRecognition\data\Nonsegmented\Black-grass\243.png
D:\Projects\LeafRecognition\data\Original\train\Black-grass\13a7f553a.png;D:\Projects\LeafRecognition\data\Nonsegmented\Black-grass\239.png
D:\Projects\LeafRecognition\data\Original\train\Black-grass\14719a83e.png;D:\Projects\LeafRecognition\data\Nonsegmented\Black-grass\318.png
D:\Projects\LeafRecognition\data\Original\train\Black-grass\1576ce9fd.png;D:\Projects\LeafRecognition\data\Nonsegmented\Black-grass\213.png
D:\Projects\LeafRecognition\data\Original\train\Black-grass\163c13912.png;D:\Projects\LeafRecognition\data\Nonsegmented\Black-grass\209.png
D:\Projects\LeafRecognition\data\Original\train\Black-grass\163e571a6.png;D:\Projects\LeafRecognition\data\Nonsegmented\Black-grass\22.png
D:\Projects\LeafRecognition\data\Original\train\Black-grass\16c69a6d8.png;D:\Projects\LeafRecognition\data\Nonsegmented\Black-grass\322.png
D:\Projects\LeafRecognition\data\Original\train\Black-grass\173cec485.png;D:\Projects\LeafRecognition\data\Nonsegmented\Black-grass\92.png
D:\Projects\LeafRecognition\data\Original\train\Black-grass\1a125880e.png;D:\Projects\LeafRecognition\data\Nonsegmented\Black-grass\285.png
D:\Projects\LeafRecognition\data\Original\train\Black-grass\1af1eddd3.png;D:\Projects\LeafRecognition\data\Nonsegmented\Black-grass\67.png
D:\Projects\LeafRecognition\data\Original\train\Black-grass\1d39b8f30.png;D:\Projects\LeafRecognition\data\Nonsegmented\Black-grass\270.png
D:\Projects\LeafRecognition\data\Original\train\Black-grass\1e49633e0.png;D:\Projects\LeafRecognition\data\Nonsegmented\Black-grass\244.png
D:\Projects\LeafRecognition\data\Original\train\Black-grass\20b2cbaed.png;D:\Projects\LeafRecognition\data\Nonsegmented\Black-grass\65.png
D:\Projects\LeafRecognition\data\Original\train\Black-grass\20d4fab57.png;D:\Projects\LeafRecognition\data\Nonsegmented\Black-grass\279.png
D:\Projects\LeafRecognition\data\Original\train\Black-grass\2269e0a1e.png;D:\Projects\LeafRecognition\data\Nonsegmented\Black-grass\104.png
D:\Projects\LeafRecognition\data\Original\train\Black-grass\228d8ad5c.png;D:\Projects\LeafRecognition\data\Nonsegmented\Black-grass\185.png
D:\Projects\LeafRecognition\data\Original\train\Black-grass\22be204a3.png;D:\Projects\LeafRecognition\data\Nonsegmented\Black-grass\309.png
D:\Projects\LeafRecognition\data\Original\train\Black-grass\25daae389.png;D:\Projects\LeafRecognition\data\Nonsegmented\Black-grass\73.png
D:\Projects\LeafRecognition\data\Original\train\Black-grass\260c4eed3.png;D:\Projects\LeafRecognition\data\Nonsegmented\Black-grass\21.png
D:\Projects\LeafRecognition\data\Original\train\Black-grass\26103af9c.png;D:\Projects\LeafRecognition\data\Nonsegmented\Black-grass\147.png
D:\Projects\LeafRecognition\data\Original\train\Black-grass\279ac215b.png;D:\Projects\LeafRecognition\data\Nonsegmented\Black-grass\174.png
D:\Projects\LeafRecognition\data\Original\train\Black-grass\28a707630.png;D:\Projects\LeafRecognition\data\Nonsegmented\Black-grass\95.png
D:\Projects\LeafRecognition\data\Original\train\Black-grass\2aa60045d.png;D:\Projects\LeafRecognition\data\Nonsegmented\Black-grass\160.png
D:\Projects\LeafRecognition\data\Original\train\Black-grass\2ed589264.png;D:\Projects\LeafRecognition\data\Nonsegmented\Black-grass\157.png
D:\Projects\LeafRecognition\data\Original\train\Black-grass\2ee4dad8c.png;D:\Projects\LeafRecognition\data\Nonsegmented\Black-grass\3.png
D:\Projects\LeafRecognition\data\Original\train\Black-grass\2f0ae1b34.png;D:\Projects\LeafRecognition\data\Nonsegmented\Black-grass\99.png
D:\Projects\LeafRecognition\data\Original\train\Black-grass\2f6bc240a.png;D:\Projects\LeafRecognition\data\Nonsegmented\Black-grass\331.png
D:\Projects\LeafRecognition\data\Original\train\Black-grass\3002e5d9d.png;D:\Projects\LeafRecognition\data\Nonsegmented\Black-grass\206.png
D:\Projects\LeafRecognition\data\Original\train\Black-grass\31958c132.png;D:\Projects\LeafRecognition\data\Nonsegmented\Black-grass\137.png
D:\Projects\LeafRecognition\data\Original\train\Black-grass\31f2766cb.png;D:\Projects\LeafRecognition\data\Nonsegmented\Black-grass\173.png
D:\Projects\LeafRecognition\data\Original\train\Black-grass\32d97b170.png;D:\Projects\LeafRecognition\data\Nonsegmented\Black-grass\301.png
D:\Projects\LeafRecognition\data\Original\train\Black-grass\332f68a21.png;D:\Projects\LeafRecognition\data\Nonsegmented\Black-grass\197.png
D:\Projects\LeafRecognition\data\Original\train\Black-grass\34a672a63.png;D:\Projects\LeafRecognition\data\Nonsegmented\Black-grass\223.png
D:\Projects\LeafRecognition\data\Original\train\Black-grass\355cad34c.png;D:\Projects\LeafRecognition\data\Nonsegmented\Black-grass\315.png
D:\Projects\LeafRecognition\data\Original\train\Black-grass\37d85d833.png;D:\Projects\LeafRecognition\data\Nonsegmented\Black-grass\327.png
D:\Projects\LeafRecognition\data\Original\train\Black-grass\39e9bf4c7.png;D:\Projects\LeafRecognition\data\Nonsegmented\Black-grass\57.png
D:\Projects\LeafRecognition\data\Original\train\Black-grass\3a8c485bc.png;D:\Projects\LeafRecognition\data\Nonsegmented\Black-grass\167.png
D:\Projects\LeafRecognition\data\Original\train\Black-grass\3b7266ac3.png;D:\Projects\LeafRecognition\data\Nonsegmented\Black-grass\305.png
D:\Projects\LeafRecognition\data\Original\train\Black-grass\3b7d1fe82.png;D:\Projects\LeafRecognition\data\Nonsegmented\Black-grass\18.png
D:\Projects\LeafRecognition\data\Original\train\Black-grass\3dc08a0f7.png;D:\Projects\LeafRecognition\data\Nonsegmented\Black-grass\200.png
D:\Projects\LeafRecognition\data\Original\train\Black-grass\3de7650a2.png;D:\Projects\LeafRecognition\data\Nonsegmented\Black-grass\211.png
D:\Projects\LeafRecognition\data\Original\train\Black-grass\3e9ef1999.png;D:\Projects\LeafRecognition\data\Nonsegmented\Black-grass\30.png
D:\Projects\LeafRecognition\data\Original\train\Black-grass\3f268bcf8.png;D:\Projects\LeafRecognition\data\Nonsegmented\Black-grass\274.png
D:\Projects\LeafRecognition\data\Original\train\Black-grass\3fb361e79.png;D:\Projects\LeafRecognition\data\Nonsegmented\Black-grass\288.png
D:\Projects\LeafRecognition\data\Original\train\Black-grass\3ff68fa8a.png;D:\Projects\LeafRecognition\data\Nonsegmented\Black-grass\42.png
D:\Projects\LeafRecognition\data\Original\train\Black-grass\40bf7be90.png;D:\Projects\LeafRecognition\data\Nonsegmented\Black-grass\187.png
D:\Projects\LeafRecognition\data\Original\train\Black-grass\418808d19.png;D:\Projects\LeafRecognition\data\Nonsegmented\Black-grass\116.png
D:\Projects\LeafRecognition\data\Original\train\Black-grass\42336b187.png;D:\Projects\LeafRecognition\data\Nonsegmented\Black-grass\101.png
D:\Projects\LeafRecognition\data\Original\train\Black-grass\429a48df1.png;D:\Projects\LeafRecognition\data\Nonsegmented\Black-grass\303.png
D:\Projects\LeafRecognition\data\Original\train\Black-grass\42af989bc.png;D:\Projects\LeafRecognition\data\Nonsegmented\Black-grass\291.png
D:\Projects\LeafRecognition\data\Original\train\Black-grass\448a59eac.png;D:\Projects\LeafRecognition\data\Nonsegmented\Black-grass\293.png
D:\Projects\LeafRecognition\data\Original\train\Black-grass\455546801.png;D:\Projects\LeafRecognition\data\Nonsegmented\Black-grass\290.png
D:\Projects\LeafRecognition\data\Original\train\Black-grass\461feacba.png;D:\Projects\LeafRecognition\data\Nonsegmented\Black-grass\332.png
D:\Projects\LeafRecognition\data\Original\train\Black-grass\470608aba.png;D:\Projects\LeafRecognition\data\Nonsegmented\Black-grass\256.png
D:\Projects\LeafRecognition\data\Original\train\Black-grass\48141d6a7.png;D:\Projects\LeafRecognition\data\Nonsegmented\Black-grass\198.png
D:\Projects\LeafRecognition\data\Original\train\Black-grass\495cebacf.png;D:\Projects\LeafRecognition\data\Nonsegmented\Black-grass\314.png
D:\Projects\LeafRecognition\data\Original\train\Black-grass\498269666.png;D:\Projects\LeafRecognition\data\Nonsegmented\Black-grass\6.png
D:\Projects\LeafRecognition\data\Original\train\Black-grass\4a3b96198.png;D:\Projects\LeafRecognition\data\Nonsegmented\Black-grass\241.png
D:\Projects\LeafRecognition\data\Original\train\Black-grass\4a7e7eba8.png;D:\Projects\LeafRecognition\data\Nonsegmented\Black-grass\220.png
D:\Projects\LeafRecognition\data\Original\train\Black-grass\4cd2a07dd.png;D:\Projects\LeafRecognition\data\Nonsegmented\Black-grass\323.png
D:\Projects\LeafRecognition\data\Original\train\Black-grass\4cf922aea.png;D:\Projects\LeafRecognition\data\Nonsegmented\Black-grass\275.png
