path1;path2
D:\Projects\LeafRecognition\data\Original\train\Charlock\022179d65.png;D:\Projects\LeafRecognition\data\Nonsegmented\Charlock\421.png
D:\Projects\LeafRecognition\data\Original\train\Charlock\02c95e601.png;D:\Projects\LeafRecognition\data\Nonsegmented\Charlock\122.png
D:\Projects\LeafRecognition\data\Original\train\Charlock\04098447d.png;D:\Projects\LeafRecognition\data\Nonsegmented\Charlock\110.png
D:\Projects\LeafRecognition\data\Original\train\Charlock\04142acb9.png;D:\Projects\LeafRecognition\data\Nonsegmented\Charlock\435.png
D:\Projects\LeafRecognition\data\Original\train\Charlock\0537577cd.png;D:\Projects\LeafRecognition\data\Nonsegmented\Charlock\226.png
D:\Projects\LeafRecognition\data\Original\train\Charlock\084a9cb18.png;D:\Projects\LeafRecognition\data\Nonsegmented\Charlock\44.png
D:\Projects\LeafRecognition\data\Original\train\Charlock\08fcc43a7.png;D:\Projects\LeafRecognition\data\Nonsegmented\Charlock\3.png
D:\Projects\LeafRecognition\data\Original\train\Charlock\09f038ce4.png;D:\Projects\LeafRecognition\data\Nonsegmented\Charlock\250.png
D:\Projects\LeafRecognition\data\Original\train\Charlock\0a7e1ca41.png;D:\Projects\LeafRecognition\data\Nonsegmented\Charlock\76.png
D:\Projects\LeafRecognition\data\Original\train\Charlock\0b2fba287.png;D:\Projects\LeafRecognition\data\Nonsegmented\Charlock\305.png
D:\Projects\LeafRecognition\data\Original\train\Charlock\0b3167af8.png;D:\Projects\LeafRecognition\data\Nonsegmented\Charlock\229.png
D:\Projects\LeafRecognition\data\Original\train\Charlock\0c4a435c7.png;D:\Projects\LeafRecognition\data\Nonsegmented\Charlock\389.png
D:\Projects\LeafRecognition\data\Original\train\Charlock\0cf0581b1.png;D:\Projects\LeafRecognition\data\Nonsegmented\Charlock\191.png
D:\Projects\LeafRecognition\data\Original\train\Charlock\0d5f555a3.png;D:\Projects\LeafRecognition\data\Nonsegmented\Charlock\359.png
D:\Projects\LeafRecognition\data\Original\train\Charlock\0dba71eba.png;D:\Projects\LeafRecognition\data\Nonsegmented\Charlock\356.png
D:\Projects\LeafRecognition\data\Original\train\Charlock\0e1627696.png;D:\Projects\LeafRecognition\data\Nonsegmented\Charlock\180.png
D:\Projects\LeafRecognition\data\Original\train\Charlock\0e51b1876.png;D:\Projects\LeafRecognition\data\Nonsegmented\Charlock\424.png
