path1;path2
D:\Projects\LeafRecognition\data\Original\train\Cleavers\005b4a3e3.png;D:\Projects\LeafRecognition\data\Nonsegmented\Cleavers\247.png
D:\Projects\LeafRecognition\data\Original\train\Cleavers\00aa8d5a4.png;D:\Projects\LeafRecognition\data\Nonsegmented\Cleavers\81.png
D:\Projects\LeafRecognition\data\Original\train\Cleavers\00df90ed6.png;D:\Projects\LeafRecognition\data\Nonsegmented\Cleavers\220.png
D:\Projects\LeafRecognition\data\Original\train\Cleavers\01605ed73.png;D:\Projects\LeafRecognition\data\Nonsegmented\Cleavers\92.png
D:\Projects\LeafRecognition\data\Original\train\Cleavers\03bee43c0.png;D:\Projects\LeafRecognition\data\Nonsegmented\Cleavers\80.png
D:\Projects\LeafRecognition\data\Original\train\Cleavers\0515bc601.png;D:\Projects\LeafRecognition\data\Nonsegmented\Cleavers\33.png
D:\Projects\LeafRecognition\data\Original\train\Cleavers\0522ec53b.png;D:\Projects\LeafRecognition\data\Nonsegmented\Cleavers\151.png
D:\Projects\LeafRecognition\data\Original\train\Cleavers\06f447848.png;D:\Projects\LeafRecognition\data\Nonsegmented\Cleavers\137.png
D:\Projects\LeafRecognition\data\Original\train\Cleavers\0756fd41e.png;D:\Projects\LeafRecognition\data\Nonsegmented\Cleavers\274.png
D:\Projects\LeafRecognition\data\Original\train\Cleavers\07ac7bc07.png;D:\Projects\LeafRecognition\data\Nonsegmented\Cleavers\323.png
D:\Projects\LeafRecognition\data\Original\train\Cleavers\0920492fd.png;D:\Projects\LeafRecognition\data\Nonsegmented\Cleavers\6.png
D:\Projects\LeafRecognition\data\Original\train\Cleavers\09da4f213.png;D:\Projects\LeafRecognition\data\Nonsegmented\Cleavers\4.png
D:\Projects\LeafRecognition\data\Original\train\Cleavers\0a1e622bc.png;D:\Projects\LeafRecognition\data\Nonsegmented\Cleavers\42.png
D:\Projects\LeafRecognition\data\Original\train\Cleavers\0a33283c7.png;D:\Projects\LeafRecognition\data\Nonsegmented\Cleavers\49.png
D:\Projects\LeafRecognition\data\Original\train\Cleavers\0ac0f0a66.png;D:\Projects\LeafRecognition\data\Nonsegmented\Cleavers\278.png
D:\Projects\LeafRecognition\data\Original\train\Cleavers\0ac327873.png;D:\Projects\LeafRecognition\data\Nonsegmented\Cleavers\112.png
D:\Projects\LeafRecognition\data\Original\train\Cleavers\0b44c3a6c.png;D:\Projects\LeafRecognition\data\Nonsegmented\Cleavers\255.png
D:\Projects\LeafRecognition\data\Original\train\Cleavers\0bcf29af7.png;D:\Projects\LeafRecognition\data\Nonsegmented\Cleavers\231.png
D:\Projects\LeafRecognition\data\Original\train\Cleavers\0bdee2052.png;D:\Projects\LeafRecognition\data\Nonsegmented\Cleavers\286.png
D:\Projects\LeafRecognition\data\Original\train\Cleavers\0bec204c7.png;D:\Projects\LeafRecognition\data\Nonsegmented\Cleavers\102.png
D:\Projects\LeafRecognition\data\Original\train\Cleavers\0dbfac958.png;D:\Projects\LeafRecognition\data\Nonsegmented\Cleavers\72.png
D:\Projects\LeafRecognition\data\Original\train\Cleavers\0f557bb1a.png;D:\Projects\LeafRecognition\data\Nonsegmented\Cleavers\306.png
D:\Projects\LeafRecognition\data\Original\train\Cleavers\10a18e8d1.png;D:\Projects\LeafRecognition\data\Nonsegmented\Cleavers\312.png
D:\Projects\LeafRecognition\data\Original\train\Cleavers\11760cf9f.png;D:\Projects\LeafRecognition\data\Nonsegmented\Cleavers\142.png
D:\Projects\LeafRecognition\data\Original\train\Cleavers\11c5eb5b6.png;D:\Projects\LeafRecognition\data\Nonsegmented\Cleavers\250.png
D:\Projects\LeafRecognition\data\Original\train\Cleavers\124f732d8.png;D:\Projects\LeafRecognition\data\Nonsegmented\Cleavers\320.png
D:\Projects\LeafRecognition\data\Original\train\Cleavers\136d5af0b.png;D:\Projects\LeafRecognition\data\Nonsegmented\Cleavers\241.png
D:\Projects\LeafRecognition\data\Original\train\Cleavers\1526846f7.png;D:\Projects\LeafRecognition\data\Nonsegmented\Cleavers\69.png
D:\Projects\LeafRecognition\data\Original\train\Cleavers\153f94019.png;D:\Projects\LeafRecognition\data\Nonsegmented\Cleavers\252.png
D:\Projects\LeafRecognition\data\Original\train\Cleavers\15917308c.png;D:\Projects\LeafRecognition\data\Nonsegmented\Cleavers\157.png
D:\Projects\LeafRecognition\data\Original\train\Cleavers\15f41649c.png;D:\Projects\LeafRecognition\data\Nonsegmented\Cleavers\189.png
D:\Projects\LeafRecognition\data\Original\train\Cleavers\16e0482dd.png;D:\Projects\LeafRecognition\data\Nonsegmented\Cleavers\348.png
D:\Projects\LeafRecognition\data\Original\train\Cleavers\184e9eb16.png;D:\Projects\LeafRecognition\data\Nonsegmented\Cleavers\257.png
D:\Projects\LeafRecognition\data\Original\train\Cleavers\1896061bc.png;D:\Projects\LeafRecognition\data\Nonsegmented\Cleavers\249.png
D:\Projects\LeafRecognition\data\Original\train\Cleavers\198653e67.png;D:\Projects\LeafRecognition\data\Nonsegmented\Cleavers\96.png
D:\Projects\LeafRecognition\data\Original\train\Cleavers\1a4fe0d36.png;D:\Projects\LeafRecognition\data\Nonsegmented\Cleavers\277.png
D:\Projects\LeafRecognition\data\Original\train\Cleavers\1af15c939.png;D:\Projects\LeafRecognition\data\Nonsegmented\Cleavers\21.png
D:\Projects\LeafRecognition\data\Original\train\Cleavers\1b28a0668.png;D:\Projects\LeafRecognition\data\Nonsegmented\Cleavers\48.png
D:\Projects\LeafRecognition\data\Original\train\Cleavers\1bc5bea6c.png;D:\Projects\LeafRecognition\data\Nonsegmented\Cleavers\123.png
D:\Projects\LeafRecognition\data\Original\train\Cleavers\1c43f8251.png;D:\Projects\LeafRecognition\data\Nonsegmented\Cleavers\229.png
D:\Projects\LeafRecognition\data\Original\train\Cleavers\1c801fa69.png;D:\Projects\LeafRecognition\data\Nonsegmented\Cleavers\188.png
D:\Projects\LeafRecognition\data\Original\train\Cleavers\1d0b4527d.png;D:\Projects\LeafRecognition\data\Nonsegmented\Cleavers\279.png
D:\Projects\LeafRecognition\data\Original\train\Cleavers\1e0caafd3.png;D:\Projects\LeafRecognition\data\Nonsegmented\Cleavers\136.png
D:\Projects\LeafRecognition\data\Original\train\Cleavers\1e33a3dce.png;D:\Projects\LeafRecognition\data\Nonsegmented\Cleavers\43.png
D:\Projects\LeafRecognition\data\Original\train\Cleavers\1e5041183.png;D:\Projects\LeafRecognition\data\Nonsegmented\Cleavers\226.png
D:\Projects\LeafRecognition\data\Original\train\Cleavers\1e510607e.png;D:\Projects\LeafRecognition\data\Nonsegmented\Cleavers\58.png
D:\Projects\LeafRecognition\data\Original\train\Cleavers\1ef8ef4af.png;D:\Projects\LeafRecognition\data\Nonsegmented\Cleavers\192.png
D:\Projects\LeafRecognition\data\Original\train\Cleavers\1ffcc6d2c.png;D:\Projects\LeafRecognition\data\Nonsegmented\Cleavers\199.png
D:\Projects\LeafRecognition\data\Original\train\Cleavers\20964b9b7.png;D:\Projects\LeafRecognition\data\Nonsegmented\Cleavers\67.png
D:\Projects\LeafRecognition\data\Original\train\Cleavers\2261906cf.png;D:\Projects\LeafRecognition\data\Nonsegmented\Cleavers\230.png
D:\Projects\LeafRecognition\data\Original\train\Cleavers\2297085a0.png;D:\Projects\LeafRecognition\data\Nonsegmented\Cleavers\131.png
D:\Projects\LeafRecognition\data\Original\train\Cleavers\252585ad8.png;D:\Projects\LeafRecognition\data\Nonsegmented\Cleavers\205.png
D:\Projects\LeafRecognition\data\Original\train\Cleavers\2559137f2.png;D:\Projects\LeafRecognition\data\Nonsegmented\Cleavers\145.png
D:\Projects\LeafRecognition\data\Original\train\Cleavers\265a7f826.png;D:\Projects\LeafRecognition\data\Nonsegmented\Cleavers\62.png
D:\Projects\LeafRecognition\data\Original\train\Cleavers\294d28c60.png;D:\Projects\LeafRecognition\data\Nonsegmented\Cleavers\200.png
D:\Projects\LeafRecognition\data\Original\train\Cleavers\299190b08.png;D:\Projects\LeafRecognition\data\Nonsegmented\Cleavers\65.png
