path1;path2
D:\Projects\LeafRecognition\data\Original\train\Common Chickweed\00b6eee9f.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common Chickweed\47.png
D:\Projects\LeafRecognition\data\Original\train\Common Chickweed\00ba5f88a.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common Chickweed\10.png
D:\Projects\LeafRecognition\data\Original\train\Common Chickweed\00d33935c.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common Chickweed\268.png
D:\Projects\LeafRecognition\data\Original\train\Common Chickweed\0118f1f70.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common Chickweed\554.png
D:\Projects\LeafRecognition\data\Original\train\Common Chickweed\017a3000a.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common Chickweed\190.png
D:\Projects\LeafRecognition\data\Original\train\Common Chickweed\019c3bbea.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common Chickweed\617.png
D:\Projects\LeafRecognition\data\Original\train\Common Chickweed\01eef6041.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common Chickweed\592.png
D:\Projects\LeafRecognition\data\Original\train\Common Chickweed\024b144e3.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common Chickweed\145.png
D:\Projects\LeafRecognition\data\Original\train\Common Chickweed\02ad544a4.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common Chickweed\597.png
D:\Projects\LeafRecognition\data\Original\train\Common Chickweed\02beb950e.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common Chickweed\687.png
D:\Projects\LeafRecognition\data\Original\train\Common Chickweed\0331a0d41.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common Chickweed\113.png
D:\Projects\LeafRecognition\data\Original\train\Common Chickweed\0366e36eb.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common Chickweed\248.png
D:\Projects\LeafRecognition\data\Original\train\Common Chickweed\036eca712.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common Chickweed\473.png
D:\Projects\LeafRecognition\data\Original\train\Common Chickweed\037295da4.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common Chickweed\584.png
D:\Projects\LeafRecognition\data\Original\train\Common Chickweed\04526c399.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common Chickweed\481.png
D:\Projects\LeafRecognition\data\Original\train\Common Chickweed\04b597a3f.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common Chickweed\285.png
D:\Projects\LeafRecognition\data\Original\train\Common Chickweed\04baa9ae6.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common Chickweed\641.png
D:\Projects\LeafRecognition\data\Original\train\Common Chickweed\054a3e47e.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common Chickweed\23.png
D:\Projects\LeafRecognition\data\Original\train\Common Chickweed\05675900a.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common Chickweed\684.png
D:\Projects\LeafRecognition\data\Original\train\Common Chickweed\0573b0ff7.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common Chickweed\121.png
D:\Projects\LeafRecognition\data\Original\train\Common Chickweed\0593874ae.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common Chickweed\618.png
D:\Projects\LeafRecognition\data\Original\train\Common Chickweed\05a56fcc4.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common Chickweed\486.png
D:\Projects\LeafRecognition\data\Original\train\Common Chickweed\062f0fec6.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common Chickweed\132.png
D:\Projects\LeafRecognition\data\Original\train\Common Chickweed\06c42cf3f.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common Chickweed\84.png
D:\Projects\LeafRecognition\data\Original\train\Common Chickweed\06e9bbeba.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common Chickweed\264.png
D:\Projects\LeafRecognition\data\Original\train\Common Chickweed\0704bc02b.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common Chickweed\118.png
D:\Projects\LeafRecognition\data\Original\train\Common Chickweed\072fc34f1.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common Chickweed\484.png
D:\Projects\LeafRecognition\data\Original\train\Common Chickweed\07e651912.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common Chickweed\276.png
D:\Projects\LeafRecognition\data\Original\train\Common Chickweed\085df38fb.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common Chickweed\358.png
D:\Projects\LeafRecognition\data\Original\train\Common Chickweed\08cdaa9ed.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common Chickweed\377.png
D:\Projects\LeafRecognition\data\Original\train\Common Chickweed\0907487ed.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common Chickweed\300.png
D:\Projects\LeafRecognition\data\Original\train\Common Chickweed\09202a9a6.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common Chickweed\333.png
D:\Projects\LeafRecognition\data\Original\train\Common Chickweed\0965e0741.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common Chickweed\193.png
D:\Projects\LeafRecognition\data\Original\train\Common Chickweed\096eb593d.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common Chickweed\295.png
D:\Projects\LeafRecognition\data\Original\train\Common Chickweed\09a6108ae.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common Chickweed\497.png
D:\Projects\LeafRecognition\data\Original\train\Common Chickweed\09d0908b0.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common Chickweed\419.png
D:\Projects\LeafRecognition\data\Original\train\Common Chickweed\09f58b32a.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common Chickweed\403.png
