path1;path2
D:\Projects\LeafRecognition\data\Original\train\Common wheat\012db0f43.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common wheat\243.png
D:\Projects\LeafRecognition\data\Original\train\Common wheat\01a2ae45e.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common wheat\6.png
D:\Projects\LeafRecognition\data\Original\train\Common wheat\0382d0faf.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common wheat\114.png
D:\Projects\LeafRecognition\data\Original\train\Common wheat\04468fad4.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common wheat\177.png
D:\Projects\LeafRecognition\data\Original\train\Common wheat\060e8f499.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common wheat\219.png
D:\Projects\LeafRecognition\data\Original\train\Common wheat\096ec46ec.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common wheat\47.png
D:\Projects\LeafRecognition\data\Original\train\Common wheat\0975602f4.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common wheat\150.png
D:\Projects\LeafRecognition\data\Original\train\Common wheat\0a4a26651.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common wheat\187.png
D:\Projects\LeafRecognition\data\Original\train\Common wheat\0df5ee8a2.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common wheat\41.png
D:\Projects\LeafRecognition\data\Original\train\Common wheat\0ec23ca76.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common wheat\216.png
D:\Projects\LeafRecognition\data\Original\train\Common wheat\0ff464e3e.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common wheat\58.png
D:\Projects\LeafRecognition\data\Original\train\Common wheat\106bfb13a.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common wheat\117.png
D:\Projects\LeafRecognition\data\Original\train\Common wheat\108bf8703.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common wheat\109.png
D:\Projects\LeafRecognition\data\Original\train\Common wheat\11b88da7c.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common wheat\202.png
D:\Projects\LeafRecognition\data\Original\train\Common wheat\126c8b947.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common wheat\38.png
D:\Projects\LeafRecognition\data\Original\train\Common wheat\12e0ffb23.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common wheat\163.png
D:\Projects\LeafRecognition\data\Original\train\Common wheat\136134853.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common wheat\107.png
D:\Projects\LeafRecognition\data\Original\train\Common wheat\138581771.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common wheat\90.png
D:\Projects\LeafRecognition\data\Original\train\Common wheat\143774101.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common wheat\89.png
D:\Projects\LeafRecognition\data\Original\train\Common wheat\1478bcfcd.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common wheat\191.png
D:\Projects\LeafRecognition\data\Original\train\Common wheat\14d8b012c.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common wheat\228.png
D:\Projects\LeafRecognition\data\Original\train\Common wheat\158e0e65d.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common wheat\99.png
D:\Projects\LeafRecognition\data\Original\train\Common wheat\166de2ae2.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common wheat\72.png
D:\Projects\LeafRecognition\data\Original\train\Common wheat\17c9616c8.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common wheat\69.png
D:\Projects\LeafRecognition\data\Original\train\Common wheat\188bdc00d.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common wheat\237.png
D:\Projects\LeafRecognition\data\Original\train\Common wheat\18fe42109.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common wheat\98.png
D:\Projects\LeafRecognition\data\Original\train\Common wheat\1a5243aa7.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common wheat\208.png
D:\Projects\LeafRecognition\data\Original\train\Common wheat\1a6add1b0.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common wheat\73.png
D:\Projects\LeafRecognition\data\Original\train\Common wheat\1a9a859c9.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common wheat\190.png
D:\Projects\LeafRecognition\data\Original\train\Common wheat\1d80baed6.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common wheat\236.png
D:\Projects\LeafRecognition\data\Original\train\Common wheat\1e3f2459f.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common wheat\173.png
D:\Projects\LeafRecognition\data\Original\train\Common wheat\200457edd.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common wheat\82.png
D:\Projects\LeafRecognition\data\Original\train\Common wheat\2163a30d4.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common wheat\209.png
D:\Projects\LeafRecognition\data\Original\train\Common wheat\21f36bdf0.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common wheat\59.png
D:\Projects\LeafRecognition\data\Original\train\Common wheat\22893299b.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common wheat\223.png
D:\Projects\LeafRecognition\data\Original\train\Common wheat\22ad759f1.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common wheat\46.png
D:\Projects\LeafRecognition\data\Original\train\Common wheat\23c21923f.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common wheat\15.png
D:\Projects\LeafRecognition\data\Original\train\Common wheat\297e193dc.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common wheat\121.png
D:\Projects\LeafRecognition\data\Original\train\Common wheat\2c4412af8.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common wheat\106.png
D:\Projects\LeafRecognition\data\Original\train\Common wheat\2c4813e68.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common wheat\62.png
D:\Projects\LeafRecognition\data\Original\train\Common wheat\2d59da822.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common wheat\197.png
D:\Projects\LeafRecognition\data\Original\train\Common wheat\2e7881f74.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common wheat\227.png
D:\Projects\LeafRecognition\data\Original\train\Common wheat\2eb324e28.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common wheat\127.png
D:\Projects\LeafRecognition\data\Original\train\Common wheat\2f45d4b13.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common wheat\115.png
D:\Projects\LeafRecognition\data\Original\train\Common wheat\30c632d2a.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common wheat\174.png
D:\Projects\LeafRecognition\data\Original\train\Common wheat\33870e597.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common wheat\56.png
D:\Projects\LeafRecognition\data\Original\train\Common wheat\3620378ef.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common wheat\148.png
D:\Projects\LeafRecognition\data\Original\train\Common wheat\373a8d06b.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common wheat\184.png
D:\Projects\LeafRecognition\data\Original\train\Common wheat\39f8f1c54.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common wheat\108.png
D:\Projects\LeafRecognition\data\Original\train\Common wheat\3a40ee68b.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common wheat\258.png
D:\Projects\LeafRecognition\data\Original\train\Common wheat\3bb7f71ae.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common wheat\128.png
D:\Projects\LeafRecognition\data\Original\train\Common wheat\3bd84db2c.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common wheat\52.png
D:\Projects\LeafRecognition\data\Original\train\Common wheat\3dc5876a5.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common wheat\80.png
D:\Projects\LeafRecognition\data\Original\train\Common wheat\3e23bc37c.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common wheat\167.png
D:\Projects\LeafRecognition\data\Original\train\Common wheat\4003af513.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common wheat\147.png
D:\Projects\LeafRecognition\data\Original\train\Common wheat\42098546c.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common wheat\171.png
D:\Projects\LeafRecognition\data\Original\train\Common wheat\42646d53e.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common wheat\135.png
D:\Projects\LeafRecognition\data\Original\train\Common wheat\427c3fabc.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common wheat\50.png
D:\Projects\LeafRecognition\data\Original\train\Common wheat\43795dcec.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common wheat\175.png
D:\Projects\LeafRecognition\data\Original\train\Common wheat\44c6a7f4c.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common wheat\178.png
D:\Projects\LeafRecognition\data\Original\train\Common wheat\470263795.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common wheat\249.png
D:\Projects\LeafRecognition\data\Original\train\Common wheat\4836fe8a1.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common wheat\88.png
D:\Projects\LeafRecognition\data\Original\train\Common wheat\48d7b23ca.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common wheat\136.png
D:\Projects\LeafRecognition\data\Original\train\Common wheat\4929747f1.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common wheat\185.png
D:\Projects\LeafRecognition\data\Original\train\Common wheat\4954fcb0d.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common wheat\24.png
D:\Projects\LeafRecognition\data\Original\train\Common wheat\4a56f32c6.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common wheat\166.png
D:\Projects\LeafRecognition\data\Original\train\Common wheat\4a65b156c.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common wheat\16.png
D:\Projects\LeafRecognition\data\Original\train\Common wheat\4fddf78f3.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common wheat\23.png
D:\Projects\LeafRecognition\data\Original\train\Common wheat\4fe8caddb.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common wheat\151.png
D:\Projects\LeafRecognition\data\Original\train\Common wheat\5089de64b.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common wheat\122.png
D:\Projects\LeafRecognition\data\Original\train\Common wheat\528ef22fe.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common wheat\143.png
D:\Projects\LeafRecognition\data\Original\train\Common wheat\5386db683.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common wheat\18.png
D:\Projects\LeafRecognition\data\Original\train\Common wheat\554ec08a6.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common wheat\257.png
D:\Projects\LeafRecognition\data\Original\train\Common wheat\5689a8503.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common wheat\141.png
D:\Projects\LeafRecognition\data\Original\train\Common wheat\585041992.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common wheat\116.png
D:\Projects\LeafRecognition\data\Original\train\Common wheat\5926abc69.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common wheat\220.png
D:\Projects\LeafRecognition\data\Original\train\Common wheat\597d0557e.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common wheat\183.png
D:\Projects\LeafRecognition\data\Original\train\Common wheat\5a8ba1976.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common wheat\244.png
D:\Projects\LeafRecognition\data\Original\train\Common wheat\5bc3608c2.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common wheat\67.png
D:\Projects\LeafRecognition\data\Original\train\Common wheat\602b2a010.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common wheat\251.png
D:\Projects\LeafRecognition\data\Original\train\Common wheat\60f3aa0df.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common wheat\39.png
D:\Projects\LeafRecognition\data\Original\train\Common wheat\62368871d.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common wheat\186.png
D:\Projects\LeafRecognition\data\Original\train\Common wheat\628294daf.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common wheat\159.png
D:\Projects\LeafRecognition\data\Original\train\Common wheat\629176d9d.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common wheat\76.png
D:\Projects\LeafRecognition\data\Original\train\Common wheat\6327092cc.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common wheat\43.png
D:\Projects\LeafRecognition\data\Original\train\Common wheat\64761ee87.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common wheat\61.png
D:\Projects\LeafRecognition\data\Original\train\Common wheat\6646c37a8.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common wheat\36.png
D:\Projects\LeafRecognition\data\Original\train\Common wheat\68c176337.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common wheat\206.png
D:\Projects\LeafRecognition\data\Original\train\Common wheat\6abbc4d24.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common wheat\213.png
D:\Projects\LeafRecognition\data\Original\train\Common wheat\6cb186ea3.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common wheat\103.png
D:\Projects\LeafRecognition\data\Original\train\Common wheat\6cea44433.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common wheat\32.png
D:\Projects\LeafRecognition\data\Original\train\Common wheat\6d428b06d.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common wheat\95.png
D:\Projects\LeafRecognition\data\Original\train\Common wheat\6dfb9a152.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common wheat\53.png
D:\Projects\LeafRecognition\data\Original\train\Common wheat\6e070b7cd.png;D:\Projects\LeafRecognition\data\Nonsegmented\Common wheat\254.png
