path1;path2
D:\Projects\LeafRecognition\data\Original\train\Fat Hen\00268e97d.png;D:\Projects\LeafRecognition\data\Nonsegmented\Fat Hen\418.png
D:\Projects\LeafRecognition\data\Original\train\Fat Hen\008f1b92d.png;D:\Projects\LeafRecognition\data\Nonsegmented\Fat Hen\473.png
D:\Projects\LeafRecognition\data\Original\train\Fat Hen\009004da3.png;D:\Projects\LeafRecognition\data\Nonsegmented\Fat Hen\129.png
D:\Projects\LeafRecognition\data\Original\train\Fat Hen\01396e759.png;D:\Projects\LeafRecognition\data\Nonsegmented\Fat Hen\199.png
D:\Projects\LeafRecognition\data\Original\train\Fat Hen\01437202b.png;D:\Projects\LeafRecognition\data\Nonsegmented\Fat Hen\296.png
D:\Projects\LeafRecognition\data\Original\train\Fat Hen\0157c4199.png;D:\Projects\LeafRecognition\data\Nonsegmented\Fat Hen\163.png
D:\Projects\LeafRecognition\data\Original\train\Fat Hen\020ac5b06.png;D:\Projects\LeafRecognition\data\Nonsegmented\Fat Hen\378.png
D:\Projects\LeafRecognition\data\Original\train\Fat Hen\02a67d111.png;D:\Projects\LeafRecognition\data\Nonsegmented\Fat Hen\498.png
D:\Projects\LeafRecognition\data\Original\train\Fat Hen\03100eb7e.png;D:\Projects\LeafRecognition\data\Nonsegmented\Fat Hen\61.png
D:\Projects\LeafRecognition\data\Original\train\Fat Hen\038850f48.png;D:\Projects\LeafRecognition\data\Nonsegmented\Fat Hen\519.png
D:\Projects\LeafRecognition\data\Original\train\Fat Hen\0486762e1.png;D:\Projects\LeafRecognition\data\Nonsegmented\Fat Hen\109.png
D:\Projects\LeafRecognition\data\Original\train\Fat Hen\066395555.png;D:\Projects\LeafRecognition\data\Nonsegmented\Fat Hen\230.png
D:\Projects\LeafRecognition\data\Original\train\Fat Hen\075cb6666.png;D:\Projects\LeafRecognition\data\Nonsegmented\Fat Hen\142.png
D:\Projects\LeafRecognition\data\Original\train\Fat Hen\07636139b.png;D:\Projects\LeafRecognition\data\Nonsegmented\Fat Hen\316.png
D:\Projects\LeafRecognition\data\Original\train\Fat Hen\077190c7a.png;D:\Projects\LeafRecognition\data\Nonsegmented\Fat Hen\379.png
D:\Projects\LeafRecognition\data\Original\train\Fat Hen\07d939b1e.png;D:\Projects\LeafRecognition\data\Nonsegmented\Fat Hen\4.png
D:\Projects\LeafRecognition\data\Original\train\Fat Hen\08fe5538d.png;D:\Projects\LeafRecognition\data\Nonsegmented\Fat Hen\421.png
D:\Projects\LeafRecognition\data\Original\train\Fat Hen\0a1480ed8.png;D:\Projects\LeafRecognition\data\Nonsegmented\Fat Hen\268.png
D:\Projects\LeafRecognition\data\Original\train\Fat Hen\0a4ab470e.png;D:\Projects\LeafRecognition\data\Nonsegmented\Fat Hen\432.png
