path1;path2
D:\Projects\LeafRecognition\data\Original\train\Loose Silky-bent\0012f11c4.png;D:\Projects\LeafRecognition\data\Nonsegmented\Loose Silky-bent\81.png
D:\Projects\LeafRecognition\data\Original\train\Loose Silky-bent\00442de98.png;D:\Projects\LeafRecognition\data\Nonsegmented\Loose Silky-bent\346.png
D:\Projects\LeafRecognition\data\Original\train\Loose Silky-bent\006eac3d9.png;D:\Projects\LeafRecognition\data\Nonsegmented\Loose Silky-bent\760.png
D:\Projects\LeafRecognition\data\Original\train\Loose Silky-bent\009d8d799.png;D:\Projects\LeafRecognition\data\Nonsegmented\Loose Silky-bent\323.png
D:\Projects\LeafRecognition\data\Original\train\Loose Silky-bent\0140dfc02.png;D:\Projects\LeafRecognition\data\Nonsegmented\Loose Silky-bent\561.png
D:\Projects\LeafRecognition\data\Original\train\Loose Silky-bent\01897adc9.png;D:\Projects\LeafRecognition\data\Nonsegmented\Loose Silky-bent\600.png
D:\Projects\LeafRecognition\data\Original\train\Loose Silky-bent\01ad79c2e.png;D:\Projects\LeafRecognition\data\Nonsegmented\Loose Silky-bent\204.png
D:\Projects\LeafRecognition\data\Original\train\Loose Silky-bent\02b15993e.png;D:\Projects\LeafRecognition\data\Nonsegmented\Loose Silky-bent\311-2.png
D:\Projects\LeafRecognition\data\Original\train\Loose Silky-bent\0367e0199.png;D:\Projects\LeafRecognition\data\Nonsegmented\Loose Silky-bent\785.png
D:\Projects\LeafRecognition\data\Original\train\Loose Silky-bent\04a16ff3b.png;D:\Projects\LeafRecognition\data\Nonsegmented\Loose Silky-bent\566.png
D:\Projects\LeafRecognition\data\Original\train\Loose Silky-bent\05067feb7.png;D:\Projects\LeafRecognition\data\Nonsegmented\Loose Silky-bent\349.png
D:\Projects\LeafRecognition\data\Original\train\Loose Silky-bent\054ed75f8.png;D:\Projects\LeafRecognition\data\Nonsegmented\Loose Silky-bent\50.png
D:\Projects\LeafRecognition\data\Original\train\Loose Silky-bent\065757bb0.png;D:\Projects\LeafRecognition\data\Nonsegmented\Loose Silky-bent\622.png
D:\Projects\LeafRecognition\data\Original\train\Loose Silky-bent\066868de0.png;D:\Projects\LeafRecognition\data\Nonsegmented\Loose Silky-bent\456.png
D:\Projects\LeafRecognition\data\Original\train\Loose Silky-bent\06bbb09fb.png;D:\Projects\LeafRecognition\data\Nonsegmented\Loose Silky-bent\31.png
D:\Projects\LeafRecognition\data\Original\train\Loose Silky-bent\07ca815ef.png;D:\Projects\LeafRecognition\data\Nonsegmented\Loose Silky-bent\579.png
D:\Projects\LeafRecognition\data\Original\train\Loose Silky-bent\080cea66f.png;D:\Projects\LeafRecognition\data\Nonsegmented\Loose Silky-bent\300.png
D:\Projects\LeafRecognition\data\Original\train\Loose Silky-bent\0822463cb.png;D:\Projects\LeafRecognition\data\Nonsegmented\Loose Silky-bent\8.png
D:\Projects\LeafRecognition\data\Original\train\Loose Silky-bent\0865fb4d3.png;D:\Projects\LeafRecognition\data\Nonsegmented\Loose Silky-bent\680.png
D:\Projects\LeafRecognition\data\Original\train\Loose Silky-bent\08fa31aa6.png;D:\Projects\LeafRecognition\data\Nonsegmented\Loose Silky-bent\665.png
D:\Projects\LeafRecognition\data\Original\train\Loose Silky-bent\0962f70a2.png;D:\Projects\LeafRecognition\data\Nonsegmented\Loose Silky-bent\399.png
D:\Projects\LeafRecognition\data\Original\train\Loose Silky-bent\09f47b868.png;D:\Projects\LeafRecognition\data\Nonsegmented\Loose Silky-bent\407.png
D:\Projects\LeafRecognition\data\Original\train\Loose Silky-bent\0a7723f3b.png;D:\Projects\LeafRecognition\data\Nonsegmented\Loose Silky-bent\612.png
D:\Projects\LeafRecognition\data\Original\train\Loose Silky-bent\0b1651517.png;D:\Projects\LeafRecognition\data\Nonsegmented\Loose Silky-bent\336.png
D:\Projects\LeafRecognition\data\Original\train\Loose Silky-bent\0bc960ef0.png;D:\Projects\LeafRecognition\data\Nonsegmented\Loose Silky-bent\73.png
