path1;path2
D:\Projects\LeafRecognition\data\Original\train\Maize\006196e1c.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\36.png
D:\Projects\LeafRecognition\data\Original\train\Maize\0086c28b2.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\231.png
D:\Projects\LeafRecognition\data\Original\train\Maize\00a18f05e.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\39.png
D:\Projects\LeafRecognition\data\Original\train\Maize\0150b5b7e.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\201.png
D:\Projects\LeafRecognition\data\Original\train\Maize\01642cae8.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\6.png
D:\Projects\LeafRecognition\data\Original\train\Maize\0184ec53f.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\204.png
D:\Projects\LeafRecognition\data\Original\train\Maize\030e7f9ef.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\257.png
D:\Projects\LeafRecognition\data\Original\train\Maize\0419f5bbc.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\8.png
D:\Projects\LeafRecognition\data\Original\train\Maize\051ea51d0.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\139.png
D:\Projects\LeafRecognition\data\Original\train\Maize\06e1ee6e1.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\211.png
D:\Projects\LeafRecognition\data\Original\train\Maize\084d21b80.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\62.png
D:\Projects\LeafRecognition\data\Original\train\Maize\0bdaf1d8f.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\186.png
D:\Projects\LeafRecognition\data\Original\train\Maize\0cd0d9b8c.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\258.png
D:\Projects\LeafRecognition\data\Original\train\Maize\0f16cf10a.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\92.png
D:\Projects\LeafRecognition\data\Original\train\Maize\107bd7230.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\124.png
D:\Projects\LeafRecognition\data\Original\train\Maize\11323514a.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\252.png
D:\Projects\LeafRecognition\data\Original\train\Maize\115808876.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\112.png
D:\Projects\LeafRecognition\data\Original\train\Maize\11dc03905.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\243.png
D:\Projects\LeafRecognition\data\Original\train\Maize\12025fcc1.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\31.png
D:\Projects\LeafRecognition\data\Original\train\Maize\16511dd22.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\2.png
D:\Projects\LeafRecognition\data\Original\train\Maize\16e38d4af.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\23.png
D:\Projects\LeafRecognition\data\Original\train\Maize\1898398b8.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\11.png
D:\Projects\LeafRecognition\data\Original\train\Maize\18a235096.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\230.png
D:\Projects\LeafRecognition\data\Original\train\Maize\18b6755a1.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\106.png
D:\Projects\LeafRecognition\data\Original\train\Maize\194d34152.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\166.png
D:\Projects\LeafRecognition\data\Original\train\Maize\19f880311.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\232.png
D:\Projects\LeafRecognition\data\Original\train\Maize\1b1ab91eb.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\60.png
D:\Projects\LeafRecognition\data\Original\train\Maize\1d21b25f9.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\51.png
D:\Projects\LeafRecognition\data\Original\train\Maize\1d8e6686f.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\107.png
D:\Projects\LeafRecognition\data\Original\train\Maize\2187ec5fa.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\137.png
D:\Projects\LeafRecognition\data\Original\train\Maize\21acedc9b.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\223.png
D:\Projects\LeafRecognition\data\Original\train\Maize\23775190c.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\74.png
D:\Projects\LeafRecognition\data\Original\train\Maize\23a60f63f.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\83.png
D:\Projects\LeafRecognition\data\Original\train\Maize\25c87a3cc.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\109.png
D:\Projects\LeafRecognition\data\Original\train\Maize\266211c3c.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\183.png
D:\Projects\LeafRecognition\data\Original\train\Maize\269a34bb9.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\79.png
D:\Projects\LeafRecognition\data\Original\train\Maize\270e121c0.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\110.png
D:\Projects\LeafRecognition\data\Original\train\Maize\27a1dbcdc.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\144.png
D:\Projects\LeafRecognition\data\Original\train\Maize\280c7b4d2.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\91.png
D:\Projects\LeafRecognition\data\Original\train\Maize\2b7549816.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\202.png
D:\Projects\LeafRecognition\data\Original\train\Maize\2b968a9e0.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\235.png
D:\Projects\LeafRecognition\data\Original\train\Maize\2bc5905e2.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\205.png
D:\Projects\LeafRecognition\data\Original\train\Maize\2d8376136.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\177.png
D:\Projects\LeafRecognition\data\Original\train\Maize\2d9adb800.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\203.png
D:\Projects\LeafRecognition\data\Original\train\Maize\2e08d8597.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\114.png
D:\Projects\LeafRecognition\data\Original\train\Maize\30d126c24.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\7.png
D:\Projects\LeafRecognition\data\Original\train\Maize\30f76315b.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\238.png
D:\Projects\LeafRecognition\data\Original\train\Maize\31d92d77d.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\131.png
D:\Projects\LeafRecognition\data\Original\train\Maize\3213aec10.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\142.png
D:\Projects\LeafRecognition\data\Original\train\Maize\34c035273.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\248.png
D:\Projects\LeafRecognition\data\Original\train\Maize\362eee504.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\182.png
D:\Projects\LeafRecognition\data\Original\train\Maize\365ff4533.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\90.png
D:\Projects\LeafRecognition\data\Original\train\Maize\37156c661.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\68.png
D:\Projects\LeafRecognition\data\Original\train\Maize\388317d6c.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\3.png
D:\Projects\LeafRecognition\data\Original\train\Maize\3a6d4d007.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\239.png
D:\Projects\LeafRecognition\data\Original\train\Maize\3ac5a3def.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\200.png
D:\Projects\LeafRecognition\data\Original\train\Maize\3ad5d809c.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\63.png
D:\Projects\LeafRecognition\data\Original\train\Maize\3b6bc2e4c.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\66.png
D:\Projects\LeafRecognition\data\Original\train\Maize\3cb4f2c65.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\96.png
D:\Projects\LeafRecognition\data\Original\train\Maize\3cf92e356.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\224.png
D:\Projects\LeafRecognition\data\Original\train\Maize\3ef465952.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\158.png
D:\Projects\LeafRecognition\data\Original\train\Maize\44a9a599d.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\125.png
D:\Projects\LeafRecognition\data\Original\train\Maize\44d562432.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\41.png
D:\Projects\LeafRecognition\data\Original\train\Maize\489da47a5.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\29.png
D:\Projects\LeafRecognition\data\Original\train\Maize\49e58b605.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\206.png
D:\Projects\LeafRecognition\data\Original\train\Maize\4a1929689.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\199.png
D:\Projects\LeafRecognition\data\Original\train\Maize\4ae8bc1c6.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\75.png
D:\Projects\LeafRecognition\data\Original\train\Maize\4b5aa18ad.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\140.png
D:\Projects\LeafRecognition\data\Original\train\Maize\4b825327e.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\69.png
D:\Projects\LeafRecognition\data\Original\train\Maize\4ba437481.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\256.png
D:\Projects\LeafRecognition\data\Original\train\Maize\4e04b01b7.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\57.png
D:\Projects\LeafRecognition\data\Original\train\Maize\4ef677ce4.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\169.png
D:\Projects\LeafRecognition\data\Original\train\Maize\4f6b0dc39.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\208.png
D:\Projects\LeafRecognition\data\Original\train\Maize\50c80a5e4.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\149.png
D:\Projects\LeafRecognition\data\Original\train\Maize\5112e0b90.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\193.png
D:\Projects\LeafRecognition\data\Original\train\Maize\5150527da.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\218.png
D:\Projects\LeafRecognition\data\Original\train\Maize\5251d7bbf.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\247.png
D:\Projects\LeafRecognition\data\Original\train\Maize\5363a9f84.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\12.png
D:\Projects\LeafRecognition\data\Original\train\Maize\5453bff0b.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\130.png
D:\Projects\LeafRecognition\data\Original\train\Maize\55083690a.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\89.png
D:\Projects\LeafRecognition\data\Original\train\Maize\5622305e8.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\254.png
D:\Projects\LeafRecognition\data\Original\train\Maize\5675e608c.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\86.png
D:\Projects\LeafRecognition\data\Original\train\Maize\5885bb41b.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\76.png
D:\Projects\LeafRecognition\data\Original\train\Maize\59f972ef4.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\14.png
D:\Projects\LeafRecognition\data\Original\train\Maize\5a7d10c3d.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\65.png
D:\Projects\LeafRecognition\data\Original\train\Maize\5b94fab70.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\148.png
D:\Projects\LeafRecognition\data\Original\train\Maize\5c7abc049.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\134.png
D:\Projects\LeafRecognition\data\Original\train\Maize\5c826024a.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\120.png
D:\Projects\LeafRecognition\data\Original\train\Maize\5d641d627.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\88.png
D:\Projects\LeafRecognition\data\Original\train\Maize\5d6e3b183.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\21.png
D:\Projects\LeafRecognition\data\Original\train\Maize\5dfa39111.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\145.png
D:\Projects\LeafRecognition\data\Original\train\Maize\5fdb1dccf.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\121.png
D:\Projects\LeafRecognition\data\Original\train\Maize\606d5c83f.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\44.png
D:\Projects\LeafRecognition\data\Original\train\Maize\61c7d55b0.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\196.png
D:\Projects\LeafRecognition\data\Original\train\Maize\6219b36db.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\170.png
D:\Projects\LeafRecognition\data\Original\train\Maize\62a1614a2.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\128.png
D:\Projects\LeafRecognition\data\Original\train\Maize\642e055ee.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\251.png
D:\Projects\LeafRecognition\data\Original\train\Maize\648ddc558.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\159.png
D:\Projects\LeafRecognition\data\Original\train\Maize\6495c3f49.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\64.png
D:\Projects\LeafRecognition\data\Original\train\Maize\649b7af36.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\209.png
D:\Projects\LeafRecognition\data\Original\train\Maize\64a6f6f65.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\132.png
D:\Projects\LeafRecognition\data\Original\train\Maize\65b4ebc41.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\16.png
D:\Projects\LeafRecognition\data\Original\train\Maize\65ba0f497.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\135.png
D:\Projects\LeafRecognition\data\Original\train\Maize\665b921f2.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\108.png
D:\Projects\LeafRecognition\data\Original\train\Maize\66a87d834.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\245.png
D:\Projects\LeafRecognition\data\Original\train\Maize\66e90b455.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\181.png
D:\Projects\LeafRecognition\data\Original\train\Maize\67c3663a8.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\147.png
D:\Projects\LeafRecognition\data\Original\train\Maize\69f06fcbc.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\143.png
D:\Projects\LeafRecognition\data\Original\train\Maize\6d54412c3.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\171.png
D:\Projects\LeafRecognition\data\Original\train\Maize\6e9ff31e7.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\157.png
D:\Projects\LeafRecognition\data\Original\train\Maize\70b85477d.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\162.png
D:\Projects\LeafRecognition\data\Original\train\Maize\7389aea72.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\49.png
D:\Projects\LeafRecognition\data\Original\train\Maize\7446f241c.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\9.png
D:\Projects\LeafRecognition\data\Original\train\Maize\749646c56.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\67.png
D:\Projects\LeafRecognition\data\Original\train\Maize\7736aedff.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\71.png
D:\Projects\LeafRecognition\data\Original\train\Maize\77a5a4b51.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\43.png
D:\Projects\LeafRecognition\data\Original\train\Maize\798852825.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\81.png
D:\Projects\LeafRecognition\data\Original\train\Maize\7f23a2f31.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\133.png
D:\Projects\LeafRecognition\data\Original\train\Maize\80fa83273.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\250.png
D:\Projects\LeafRecognition\data\Original\train\Maize\814e74c21.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\77.png
D:\Projects\LeafRecognition\data\Original\train\Maize\822d1163b.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\104.png
D:\Projects\LeafRecognition\data\Original\train\Maize\8439a7dad.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\259.png
D:\Projects\LeafRecognition\data\Original\train\Maize\84ba8107f.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\237.png
D:\Projects\LeafRecognition\data\Original\train\Maize\85ae913c3.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\173.png
D:\Projects\LeafRecognition\data\Original\train\Maize\85c25b5a2.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\102.png
D:\Projects\LeafRecognition\data\Original\train\Maize\87a3254c9.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\19.png
D:\Projects\LeafRecognition\data\Original\train\Maize\87bbc41eb.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\82.png
D:\Projects\LeafRecognition\data\Original\train\Maize\8a257f6f6.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\35.png
D:\Projects\LeafRecognition\data\Original\train\Maize\8bfe6860d.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\32.png
D:\Projects\LeafRecognition\data\Original\train\Maize\8c6fba454.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\151.png
D:\Projects\LeafRecognition\data\Original\train\Maize\8c70f6c91.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\85.png
D:\Projects\LeafRecognition\data\Original\train\Maize\8c71f9b84.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\188.png
D:\Projects\LeafRecognition\data\Original\train\Maize\8caddf555.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\61.png
D:\Projects\LeafRecognition\data\Original\train\Maize\8cd93b279.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\146.png
D:\Projects\LeafRecognition\data\Original\train\Maize\8d2004e7a.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\40.png
D:\Projects\LeafRecognition\data\Original\train\Maize\905f9f385.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\13.png
D:\Projects\LeafRecognition\data\Original\train\Maize\907817b91.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\122.png
D:\Projects\LeafRecognition\data\Original\train\Maize\919e154c2.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\116.png
D:\Projects\LeafRecognition\data\Original\train\Maize\91a9d5b9d.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\56.png
D:\Projects\LeafRecognition\data\Original\train\Maize\92c06eaca.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\129.png
D:\Projects\LeafRecognition\data\Original\train\Maize\96d476790.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\20.png
D:\Projects\LeafRecognition\data\Original\train\Maize\97da6a579.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\187.png
D:\Projects\LeafRecognition\data\Original\train\Maize\982130e94.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\97.png
D:\Projects\LeafRecognition\data\Original\train\Maize\988113525.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\4.png
D:\Projects\LeafRecognition\data\Original\train\Maize\9977e50bc.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\37.png
D:\Projects\LeafRecognition\data\Original\train\Maize\9d1e59e00.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\10.png
D:\Projects\LeafRecognition\data\Original\train\Maize\9d3514473.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\15.png
D:\Projects\LeafRecognition\data\Original\train\Maize\9d588ace5.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\260.png
D:\Projects\LeafRecognition\data\Original\train\Maize\9fc63a912.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\213.png
D:\Projects\LeafRecognition\data\Original\train\Maize\a1d7080b1.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\72.png
D:\Projects\LeafRecognition\data\Original\train\Maize\a30702538.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\176.png
D:\Projects\LeafRecognition\data\Original\train\Maize\a353bdbd9.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\241.png
D:\Projects\LeafRecognition\data\Original\train\Maize\a37e7b7db.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\84.png
D:\Projects\LeafRecognition\data\Original\train\Maize\a47bdd663.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\179.png
D:\Projects\LeafRecognition\data\Original\train\Maize\a4e71c6c3.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\22.png
D:\Projects\LeafRecognition\data\Original\train\Maize\a53a61390.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\136.png
D:\Projects\LeafRecognition\data\Original\train\Maize\a5c2eec2d.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\195.png
D:\Projects\LeafRecognition\data\Original\train\Maize\a6e44df4f.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\70.png
D:\Projects\LeafRecognition\data\Original\train\Maize\a76555ad2.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\87.png
D:\Projects\LeafRecognition\data\Original\train\Maize\abadd72ab.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\164.png
D:\Projects\LeafRecognition\data\Original\train\Maize\ac3de5925.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\246.png
D:\Projects\LeafRecognition\data\Original\train\Maize\af014d45e.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\78.png
D:\Projects\LeafRecognition\data\Original\train\Maize\b0df48778.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\192.png
D:\Projects\LeafRecognition\data\Original\train\Maize\b273efc22.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\210.png
D:\Projects\LeafRecognition\data\Original\train\Maize\b496ed692.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\126.png
D:\Projects\LeafRecognition\data\Original\train\Maize\b62a6a471.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\127.png
D:\Projects\LeafRecognition\data\Original\train\Maize\b72a19852.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\242.png
D:\Projects\LeafRecognition\data\Original\train\Maize\b8b2658d9.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\24.png
D:\Projects\LeafRecognition\data\Original\train\Maize\b9ffd31a7.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\138.png
D:\Projects\LeafRecognition\data\Original\train\Maize\bb9f796ce.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\26.png
D:\Projects\LeafRecognition\data\Original\train\Maize\bede27c87.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\175.png
D:\Projects\LeafRecognition\data\Original\train\Maize\bf22827fb.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\95.png
D:\Projects\LeafRecognition\data\Original\train\Maize\c05a8d7e1.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\174.png
D:\Projects\LeafRecognition\data\Original\train\Maize\c08835318.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\118.png
D:\Projects\LeafRecognition\data\Original\train\Maize\c5bcc4cb3.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\115.png
D:\Projects\LeafRecognition\data\Original\train\Maize\c621da984.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\123.png
D:\Projects\LeafRecognition\data\Original\train\Maize\c6dc512e9.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\253.png
D:\Projects\LeafRecognition\data\Original\train\Maize\c6fabfb59.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\215.png
D:\Projects\LeafRecognition\data\Original\train\Maize\c9b1820d0.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\197.png
D:\Projects\LeafRecognition\data\Original\train\Maize\cc3674663.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\94.png
D:\Projects\LeafRecognition\data\Original\train\Maize\cccbcc365.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\59.png
D:\Projects\LeafRecognition\data\Original\train\Maize\cd2b68ba2.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\47.png
D:\Projects\LeafRecognition\data\Original\train\Maize\cdcb0f735.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\154.png
D:\Projects\LeafRecognition\data\Original\train\Maize\ce76cb1e5.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\80.png
D:\Projects\LeafRecognition\data\Original\train\Maize\cf7b09a39.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\55.png
D:\Projects\LeafRecognition\data\Original\train\Maize\d3963a326.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\25.png
D:\Projects\LeafRecognition\data\Original\train\Maize\d3cf21397.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\5.png
D:\Projects\LeafRecognition\data\Original\train\Maize\d8ae9a82b.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\212.png
D:\Projects\LeafRecognition\data\Original\train\Maize\d99129a77.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\194.png
D:\Projects\LeafRecognition\data\Original\train\Maize\dc7a7bdeb.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\48.png
D:\Projects\LeafRecognition\data\Original\train\Maize\e17f5daf0.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\189.png
D:\Projects\LeafRecognition\data\Original\train\Maize\e30accd2f.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\111.png
D:\Projects\LeafRecognition\data\Original\train\Maize\e364ace75.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\105.png
D:\Projects\LeafRecognition\data\Original\train\Maize\e43323e28.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\191.png
D:\Projects\LeafRecognition\data\Original\train\Maize\e45f92ca7.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\113.png
D:\Projects\LeafRecognition\data\Original\train\Maize\e66d87ad7.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\38.png
D:\Projects\LeafRecognition\data\Original\train\Maize\e6d8ba41c.png;D:\Projects\LeafRecognition\data\Nonsegmented\Maize\184.png
