path1;path2
D:\Projects\LeafRecognition\data\Original\train\Scentless Mayweed\01358344b.png;D:\Projects\LeafRecognition\data\Nonsegmented\Scentless Mayweed\490.png
D:\Projects\LeafRecognition\data\Original\train\Scentless Mayweed\015215883.png;D:\Projects\LeafRecognition\data\Nonsegmented\Scentless Mayweed\52.png
D:\Projects\LeafRecognition\data\Original\train\Scentless Mayweed\01e90ef62.png;D:\Projects\LeafRecognition\data\Nonsegmented\Scentless Mayweed\27.png
D:\Projects\LeafRecognition\data\Original\train\Scentless Mayweed\025155400.png;D:\Projects\LeafRecognition\data\Nonsegmented\Scentless Mayweed\104.png
D:\Projects\LeafRecognition\data\Original\train\Scentless Mayweed\0258481da.png;D:\Projects\LeafRecognition\data\Nonsegmented\Scentless Mayweed\256.png
D:\Projects\LeafRecognition\data\Original\train\Scentless Mayweed\02ae4e8a3.png;D:\Projects\LeafRecognition\data\Nonsegmented\Scentless Mayweed\53.png
D:\Projects\LeafRecognition\data\Original\train\Scentless Mayweed\0372b48e1.png;D:\Projects\LeafRecognition\data\Nonsegmented\Scentless Mayweed\308.png
D:\Projects\LeafRecognition\data\Original\train\Scentless Mayweed\03906fdd7.png;D:\Projects\LeafRecognition\data\Nonsegmented\Scentless Mayweed\9.png
D:\Projects\LeafRecognition\data\Original\train\Scentless Mayweed\03a92ad22.png;D:\Projects\LeafRecognition\data\Nonsegmented\Scentless Mayweed\194.png
D:\Projects\LeafRecognition\data\Original\train\Scentless Mayweed\03ee6340f.png;D:\Projects\LeafRecognition\data\Nonsegmented\Scentless Mayweed\47.png
D:\Projects\LeafRecognition\data\Original\train\Scentless Mayweed\0438cc647.png;D:\Projects\LeafRecognition\data\Nonsegmented\Scentless Mayweed\60.png
D:\Projects\LeafRecognition\data\Original\train\Scentless Mayweed\04dff1857.png;D:\Projects\LeafRecognition\data\Nonsegmented\Scentless Mayweed\460.png
D:\Projects\LeafRecognition\data\Original\train\Scentless Mayweed\04f89976a.png;D:\Projects\LeafRecognition\data\Nonsegmented\Scentless Mayweed\55.png
D:\Projects\LeafRecognition\data\Original\train\Scentless Mayweed\05ceff7d1.png;D:\Projects\LeafRecognition\data\Nonsegmented\Scentless Mayweed\525.png
D:\Projects\LeafRecognition\data\Original\train\Scentless Mayweed\05f76f20c.png;D:\Projects\LeafRecognition\data\Nonsegmented\Scentless Mayweed\177.png
D:\Projects\LeafRecognition\data\Original\train\Scentless Mayweed\060f69cd9.png;D:\Projects\LeafRecognition\data\Nonsegmented\Scentless Mayweed\258.png
D:\Projects\LeafRecognition\data\Original\train\Scentless Mayweed\061592f02.png;D:\Projects\LeafRecognition\data\Nonsegmented\Scentless Mayweed\146.png
D:\Projects\LeafRecognition\data\Original\train\Scentless Mayweed\06efbd2bf.png;D:\Projects\LeafRecognition\data\Nonsegmented\Scentless Mayweed\468.png
D:\Projects\LeafRecognition\data\Original\train\Scentless Mayweed\078d42d74.png;D:\Projects\LeafRecognition\data\Nonsegmented\Scentless Mayweed\174.png
D:\Projects\LeafRecognition\data\Original\train\Scentless Mayweed\07bed57ea.png;D:\Projects\LeafRecognition\data\Nonsegmented\Scentless Mayweed\354.png
D:\Projects\LeafRecognition\data\Original\train\Scentless Mayweed\083a8c7d2.png;D:\Projects\LeafRecognition\data\Nonsegmented\Scentless Mayweed\49.png
D:\Projects\LeafRecognition\data\Original\train\Scentless Mayweed\086894274.png;D:\Projects\LeafRecognition\data\Nonsegmented\Scentless Mayweed\141.png
D:\Projects\LeafRecognition\data\Original\train\Scentless Mayweed\0919cf5f1.png;D:\Projects\LeafRecognition\data\Nonsegmented\Scentless Mayweed\271.png
D:\Projects\LeafRecognition\data\Original\train\Scentless Mayweed\09653e8fa.png;D:\Projects\LeafRecognition\data\Nonsegmented\Scentless Mayweed\383.png
D:\Projects\LeafRecognition\data\Original\train\Scentless Mayweed\0a2bcaf43.png;D:\Projects\LeafRecognition\data\Nonsegmented\Scentless Mayweed\391.png
D:\Projects\LeafRecognition\data\Original\train\Scentless Mayweed\0ae9acf83.png;D:\Projects\LeafRecognition\data\Nonsegmented\Scentless Mayweed\564.png
D:\Projects\LeafRecognition\data\Original\train\Scentless Mayweed\0b4517fcf.png;D:\Projects\LeafRecognition\data\Nonsegmented\Scentless Mayweed\272.png
D:\Projects\LeafRecognition\data\Original\train\Scentless Mayweed\0bccfe309.png;D:\Projects\LeafRecognition\data\Nonsegmented\Scentless Mayweed\517.png
D:\Projects\LeafRecognition\data\Original\train\Scentless Mayweed\0cbef3166.png;D:\Projects\LeafRecognition\data\Nonsegmented\Scentless Mayweed\412.png
