path1;path2
D:\Projects\LeafRecognition\data\Original\train\Small-flowered Cranesbill\003402ea0.png;D:\Projects\LeafRecognition\data\Nonsegmented\Small-flowered Cranesbill\251.png
D:\Projects\LeafRecognition\data\Original\train\Small-flowered Cranesbill\00cc58829.png;D:\Projects\LeafRecognition\data\Nonsegmented\Small-flowered Cranesbill\92.png
D:\Projects\LeafRecognition\data\Original\train\Small-flowered Cranesbill\00d030ea0.png;D:\Projects\LeafRecognition\data\Nonsegmented\Small-flowered Cranesbill\570.png
D:\Projects\LeafRecognition\data\Original\train\Small-flowered Cranesbill\00e049fe8.png;D:\Projects\LeafRecognition\data\Nonsegmented\Small-flowered Cranesbill\185.png
D:\Projects\LeafRecognition\data\Original\train\Small-flowered Cranesbill\018c28574.png;D:\Projects\LeafRecognition\data\Nonsegmented\Small-flowered Cranesbill\347.png
D:\Projects\LeafRecognition\data\Original\train\Small-flowered Cranesbill\01e18fd1a.png;D:\Projects\LeafRecognition\data\Nonsegmented\Small-flowered Cranesbill\417.png
D:\Projects\LeafRecognition\data\Original\train\Small-flowered Cranesbill\0268ecbe2.png;D:\Projects\LeafRecognition\data\Nonsegmented\Small-flowered Cranesbill\479.png
D:\Projects\LeafRecognition\data\Original\train\Small-flowered Cranesbill\027f505f5.png;D:\Projects\LeafRecognition\data\Nonsegmented\Small-flowered Cranesbill\239.png
D:\Projects\LeafRecognition\data\Original\train\Small-flowered Cranesbill\028329f45.png;D:\Projects\LeafRecognition\data\Nonsegmented\Small-flowered Cranesbill\44.png
D:\Projects\LeafRecognition\data\Original\train\Small-flowered Cranesbill\04559c69c.png;D:\Projects\LeafRecognition\data\Nonsegmented\Small-flowered Cranesbill\97.png
D:\Projects\LeafRecognition\data\Original\train\Small-flowered Cranesbill\055922489.png;D:\Projects\LeafRecognition\data\Nonsegmented\Small-flowered Cranesbill\522.png
D:\Projects\LeafRecognition\data\Original\train\Small-flowered Cranesbill\05598e057.png;D:\Projects\LeafRecognition\data\Nonsegmented\Small-flowered Cranesbill\326.png
D:\Projects\LeafRecognition\data\Original\train\Small-flowered Cranesbill\05e5b5cb6.png;D:\Projects\LeafRecognition\data\Nonsegmented\Small-flowered Cranesbill\466.png
D:\Projects\LeafRecognition\data\Original\train\Small-flowered Cranesbill\06a64ac47.png;D:\Projects\LeafRecognition\data\Nonsegmented\Small-flowered Cranesbill\156.png
D:\Projects\LeafRecognition\data\Original\train\Small-flowered Cranesbill\071907a13.png;D:\Projects\LeafRecognition\data\Nonsegmented\Small-flowered Cranesbill\399.png
D:\Projects\LeafRecognition\data\Original\train\Small-flowered Cranesbill\076b550b6.png;D:\Projects\LeafRecognition\data\Nonsegmented\Small-flowered Cranesbill\107.png
D:\Projects\LeafRecognition\data\Original\train\Small-flowered Cranesbill\085debc4e.png;D:\Projects\LeafRecognition\data\Nonsegmented\Small-flowered Cranesbill\322.png
D:\Projects\LeafRecognition\data\Original\train\Small-flowered Cranesbill\0958bdb64.png;D:\Projects\LeafRecognition\data\Nonsegmented\Small-flowered Cranesbill\449.png
D:\Projects\LeafRecognition\data\Original\train\Small-flowered Cranesbill\09be59300.png;D:\Projects\LeafRecognition\data\Nonsegmented\Small-flowered Cranesbill\35.png
D:\Projects\LeafRecognition\data\Original\train\Small-flowered Cranesbill\09d34fe5b.png;D:\Projects\LeafRecognition\data\Nonsegmented\Small-flowered Cranesbill\94.png
D:\Projects\LeafRecognition\data\Original\train\Small-flowered Cranesbill\0a2ff1911.png;D:\Projects\LeafRecognition\data\Nonsegmented\Small-flowered Cranesbill\47.png
D:\Projects\LeafRecognition\data\Original\train\Small-flowered Cranesbill\0b26e2d09.png;D:\Projects\LeafRecognition\data\Nonsegmented\Small-flowered Cranesbill\9.png
D:\Projects\LeafRecognition\data\Original\train\Small-flowered Cranesbill\0cae486ac.png;D:\Projects\LeafRecognition\data\Nonsegmented\Small-flowered Cranesbill\160.png
D:\Projects\LeafRecognition\data\Original\train\Small-flowered Cranesbill\0d85a4e16.png;D:\Projects\LeafRecognition\data\Nonsegmented\Small-flowered Cranesbill\539.png
D:\Projects\LeafRecognition\data\Original\train\Small-flowered Cranesbill\0dc692377.png;D:\Projects\LeafRecognition\data\Nonsegmented\Small-flowered Cranesbill\115.png
D:\Projects\LeafRecognition\data\Original\train\Small-flowered Cranesbill\0df57701f.png;D:\Projects\LeafRecognition\data\Nonsegmented\Small-flowered Cranesbill\31.png
