path1;path2
D:\Projects\LeafRecognition\data\Original\train\Sugar beet\0026b7a30.png;D:\Projects\LeafRecognition\data\Nonsegmented\Sugar beet\319.png
D:\Projects\LeafRecognition\data\Original\train\Sugar beet\00626e3be.png;D:\Projects\LeafRecognition\data\Nonsegmented\Sugar beet\276.png
D:\Projects\LeafRecognition\data\Original\train\Sugar beet\008753052.png;D:\Projects\LeafRecognition\data\Nonsegmented\Sugar beet\270.png
D:\Projects\LeafRecognition\data\Original\train\Sugar beet\00acffa82.png;D:\Projects\LeafRecognition\data\Nonsegmented\Sugar beet\53.png
D:\Projects\LeafRecognition\data\Original\train\Sugar beet\019e2ca3b.png;D:\Projects\LeafRecognition\data\Nonsegmented\Sugar beet\394.png
D:\Projects\LeafRecognition\data\Original\train\Sugar beet\01f145914.png;D:\Projects\LeafRecognition\data\Nonsegmented\Sugar beet\107.png
D:\Projects\LeafRecognition\data\Original\train\Sugar beet\02460681c.png;D:\Projects\LeafRecognition\data\Nonsegmented\Sugar beet\240.png
D:\Projects\LeafRecognition\data\Original\train\Sugar beet\04c979351.png;D:\Projects\LeafRecognition\data\Nonsegmented\Sugar beet\160.png
D:\Projects\LeafRecognition\data\Original\train\Sugar beet\05f87cff9.png;D:\Projects\LeafRecognition\data\Nonsegmented\Sugar beet\95.png
D:\Projects\LeafRecognition\data\Original\train\Sugar beet\06a859dfd.png;D:\Projects\LeafRecognition\data\Nonsegmented\Sugar beet\90.png
D:\Projects\LeafRecognition\data\Original\train\Sugar beet\071c8beda.png;D:\Projects\LeafRecognition\data\Nonsegmented\Sugar beet\188.png
D:\Projects\LeafRecognition\data\Original\train\Sugar beet\0838d0a77.png;D:\Projects\LeafRecognition\data\Nonsegmented\Sugar beet\167.png
D:\Projects\LeafRecognition\data\Original\train\Sugar beet\089859249.png;D:\Projects\LeafRecognition\data\Nonsegmented\Sugar beet\391.png
D:\Projects\LeafRecognition\data\Original\train\Sugar beet\095ba8b9d.png;D:\Projects\LeafRecognition\data\Nonsegmented\Sugar beet\250.png
